iter	F1	Logloss
0	0.8536803506	0.6555926237
1	0.85679893	0.6235823797
2	0.8628571429	0.5915884664
3	0.866278549	0.5635046543
4	0.8653681796	0.5395683616
5	0.8662328921	0.5179597006
6	0.8660061864	0.5002801585
7	0.8668400287	0.4836599545
8	0.8674677188	0.4704075226
9	0.8684552336	0.4569463265
10	0.8682878768	0.4456423066
11	0.8682677659	0.4351836623
12	0.8682323413	0.4266990718
13	0.8692342141	0.4187714617
14	0.8701025388	0.411698787
15	0.8706367343	0.4051838358
16	0.8702666368	0.3998502607
17	0.8710617129	0.3947571215
18	0.8707769513	0.3903575817
19	0.8714938615	0.3860819932
20	0.8717351373	0.3822225307
21	0.8725187077	0.3787887796
22	0.872743561	0.3754931855
23	0.8732028486	0.3725693171
24	0.873041454	0.3699320781
25	0.873281075	0.367358937
26	0.8738690316	0.3648602186
27	0.8741828602	0.362725564
28	0.8741882026	0.3614464136
29	0.8742949234	0.3607655232
30	0.8745410585	0.3593879135
31	0.8750950996	0.3576807231
32	0.8749664369	0.3567622754
33	0.8751342642	0.3550245648
34	0.8757332856	0.3537878854
35	0.8762203314	0.3524010837
36	0.8765503963	0.3509931236
37	0.876852142	0.3501920206
38	0.8768128917	0.3491064233
39	0.8769588967	0.3475920379
40	0.8772668249	0.3464870048
41	0.8775245175	0.3455086997
42	0.877904634	0.344840291
43	0.8780902902	0.343996456
44	0.8780116435	0.3433803946
45	0.8785314529	0.3425805785
46	0.8783348254	0.3420885528
47	0.8786318664	0.3418870507
48	0.8790225126	0.3412887008
49	0.8790864308	0.3404875565
50	0.8791868171	0.3395724347
51	0.8794122917	0.3390974114
52	0.879831594	0.3385235964
53	0.8803690599	0.3378478687
54	0.8806057076	0.3374441422
55	0.8806451613	0.3365640213
56	0.8808745128	0.3359698139
57	0.8808745128	0.3353622501
58	0.8809246483	0.3347789731
59	0.8807166853	0.3340280847
60	0.8809747794	0.3337309959
61	0.8811144956	0.3334488745
62	0.8810825343	0.3328578049
63	0.8819313805	0.3321753755
64	0.8817021277	0.3318803221
65	0.8818996416	0.3313195807
66	0.8820894185	0.3311234592
67	0.8821895718	0.3310669019
68	0.8819892473	0.3309402408
69	0.8823292273	0.3306763601
70	0.8826745541	0.3299697846
71	0.882685069	0.3297290675
72	0.883003988	0.3291769554
73	0.8828142505	0.3290210352
74	0.8830330734	0.3287910283
75	0.8830016138	0.3282176856
76	0.8832705756	0.3279096635
77	0.8834603317	0.3275956947
78	0.8836000179	0.3271615329
79	0.8836688035	0.326744817
80	0.8834394333	0.3266269043
81	0.8839982071	0.326344155
82	0.8842067512	0.3260503767
83	0.8840378323	0.3260411021
84	0.884315308	0.3257331273
85	0.8842445172	0.325510964
86	0.8842945556	0.3252592395
87	0.8843549617	0.3250045234
88	0.8844739439	0.324865601
89	0.8842152466	0.3246042179
90	0.8843445894	0.3243513197
91	0.8844946642	0.324182511
92	0.8846636771	0.3239253564
93	0.8848533764	0.3235311857
94	0.884803372	0.3233994915
95	0.8849224146	0.3233669121
96	0.8848137022	0.3226094441
97	0.884803372	0.3224115466
98	0.8851518005	0.3219805925
99	0.8852517824	0.3219615964
100	0.8851518005	0.321529987
101	0.8857898749	0.3210698263
102	0.8856502242	0.3207635314
103	0.8856694326	0.3205925025
104	0.8856194492	0.320363224
105	0.8855400072	0.3202998038
106	0.8857194116	0.3200596742
107	0.8860089686	0.3198490097
108	0.886228082	0.3194996013
109	0.8861781326	0.319290829
110	0.8862576247	0.3191742795
111	0.8862178768	0.3189053243
112	0.8863473269	0.3186142679
113	0.8865766695	0.3183372957
114	0.8866062618	0.3181378076
115	0.8867459072	0.3181252802
116	0.8869549614	0.3179028189
117	0.8867958378	0.3178524685
118	0.8869549614	0.317647706
119	0.8871539462	0.317368902
120	0.8868347842	0.3173065961
121	0.887014269	0.3169849513
122	0.887592551	0.3165545941
123	0.8874427789	0.3164565007
124	0.8874029529	0.316036973
125	0.8875325375	0.3159361986
126	0.8876122083	0.3157456975
127	0.8876621337	0.3153848301
128	0.8877317413	0.3152902171
129	0.8878315903	0.3151025909
130	0.8879112986	0.3148935945
131	0.8879612173	0.3147351307
132	0.8881209891	0.3144202471
133	0.8881708849	0.314376076
134	0.8881209891	0.3143754004
135	0.8882506059	0.3140404436
136	0.8882205064	0.3137656821
137	0.888699322	0.3133762632
138	0.8887891169	0.313338849
139	0.8885696328	0.3133269824
140	0.8887392241	0.3133150797
141	0.888699322	0.3130201343
142	0.8888190391	0.3129486087
143	0.8891083775	0.312792778
144	0.8893278858	0.3124389431
145	0.889238091	0.3123797755
146	0.8890485385	0.3122387546
147	0.8890984195	0.3120474648
148	0.8891283848	0.3118792423
149	0.8892082454	0.3116845321
150	0.8894176806	0.3114131626
151	0.8895077255	0.3112240985
152	0.8896074733	0.3110699689
153	0.8895176502	0.3110148084
154	0.8894278272	0.3109939093
155	0.8896375152	0.3106867407
156	0.8895876381	0.3104864189
157	0.8897772188	0.3101727864
158	0.8899070206	0.3098942991
159	0.8900166165	0.3096482576
160	0.8902860736	0.3094640958
161	0.8902860736	0.3094612994
162	0.8901464116	0.3093749154
163	0.890385738	0.3091442594
164	0.8906551709	0.3088475424
165	0.8908151808	0.3086270492
166	0.8908943966	0.3083220838
167	0.8910446421	0.3082748397
168	0.8912242882	0.3080435767
169	0.8912643162	0.3077845758
170	0.8912643162	0.3076897908
171	0.8913649025	0.3074799603
172	0.8914244643	0.3073314908
173	0.8913844219	0.3073226792
174	0.8913941789	0.307287122
175	0.8917340521	0.3070798278
176	0.8918433345	0.3069040364
177	0.8921225186	0.3065134141
178	0.8921225186	0.306503252
179	0.8922427346	0.3063947396
180	0.892162587	0.3062814025
181	0.8921031354	0.3058168093
182	0.8920533669	0.3057286183
183	0.8921929746	0.3055117327
184	0.8924224049	0.3053269449
185	0.8924127398	0.3052707718
186	0.892202659	0.3052171322
187	0.8922330533	0.3051220281
188	0.8922938665	0.3049908517
189	0.8925827755	0.3048013102
190	0.8926325247	0.3044678576
191	0.892801006	0.3042524316
192	0.8933494993	0.3037400823
193	0.8937278319	0.3035390028
194	0.8935692474	0.3033587517
195	0.8937890151	0.3030569516
196	0.8936495105	0.3029399178
197	0.8935692474	0.302723092
198	0.8935692474	0.3025598559
199	0.8936991961	0.3023477494
200	0.8938482263	0.3022231927
201	0.893888365	0.3021090245
202	0.8939781759	0.3019979254
203	0.8939285073	0.301992348
204	0.8939686532	0.3018425492
205	0.8941387828	0.3017273848
206	0.8943089431	0.3015193974
207	0.8944886134	0.3014198706
208	0.8946682837	0.3012207607
209	0.8946990117	0.3010671084
210	0.8945996945	0.3009462444
211	0.8948385068	0.300635251
212	0.8951696248	0.3002480426
213	0.8953989935	0.3000588943
214	0.8951011236	0.2998195805
215	0.8952312463	0.2995303625
216	0.8954700701	0.2992883566
217	0.8956900813	0.2990210582
218	0.8958080604	0.2987357992
219	0.8960402715	0.2983711715
220	0.896099227	0.2982281905
221	0.8965889174	0.298001234
222	0.8965300252	0.297884057
223	0.8963595506	0.29772584
224	0.8964804243	0.2974920948
225	0.8965393258	0.2973754273
226	0.8968492966	0.2969478574
227	0.896880338	0.2967334615
228	0.8969484518	0.2964739004
229	0.8970072796	0.2963423897
230	0.89702908	0.2962477616
231	0.8971592952	0.2960207441
232	0.8972802877	0.2957705211
233	0.8972618138	0.2953082667
234	0.8975500112	0.2949457787
235	0.8974912328	0.294839233
236	0.8976087738	0.2946186598
237	0.8976491212	0.2945216649
238	0.8978289208	0.2944317188
239	0.8978105471	0.2943475464
240	0.897990379	0.2941848674
241	0.8977517986	0.2938486644
242	0.8975811528	0.2934195601
